"Name","Position","Birthdate","Birthplace"
"Leo Carlsson","C","12/26/2004 (18)","Karlstad, SE"
"Sam Carrick","C","2/4/1992 (31)","Markham, ON"
"Benoit-Olivier Groulx","C","2/6/2000 (23)","Gatineau, PQ"
"Adam Henrique","C","2/6/1990 (33)","Brantford, ON"
"Mason McTavish","C","1/30/2003 (20)","Zurich, Switzerland"
"Ryan Strome","C","7/11/1993 (30)","Mississauga, ON"
"Trevor Zegras","C","3/20/2001 (22)","Bedford, NY"
"Ross Johnston","LW","2/18/1994 (29)","Charlottetown, PE"
"Max Jones","LW","2/17/1998 (25)","Rochester, MI"
"Alex Killorn","LW","9/14/1989 (34)","Halifax, NS"
"Brett Leason","RW","4/30/1999 (24)","Calgary, AB"
"Jakob Silfverberg","LW","10/13/1990 (33)","Gavle, Sweden"
"Troy Terry","RW","9/10/1997 (26)","Denver, CO"
"Frank Vatrano","RW","3/14/1994 (29)","East Longmeadow, MA"
"Cam Fowler","D","12/5/1991 (31)","Windsor, ON"
"Radko Gudas","D","6/5/1990 (33)","Prague, Czechoslovakia"
"Robert Hagg","D","2/8/1995 (28)","Uppsala, Sweden"
"Jackson LaCombe","D","1/9/2001 (22)","Eden Prairie, MN"
"Tristan Luneau","D","1/12/2004 (19)","Victoriaville, CA"
"Ilya Lyubushkin","D","4/6/1994 (29)","Moscow, Russia"
"Pavel Mintyukov","D","11/25/2003 (19)","Moscow, RU"
"Urho Vaakanainen","D","1/1/1999 (24)","Joensuu, Finland"
"Olen Zellweger","D","9/10/2003 (20)","Calgary, AB"
"Lukas Dostal","G","6/22/2000 (23)","Brno, Czech Republic"
"Olle Eriksson Ek","G","6/22/1999 (24)","Karlstad, Sweden"
"John Gibson","G","7/14/1993 (30)","Pittsburgh, PA"
"Nick Bjugstad","C","7/17/1992 (31)","Minneapolis, MN"
"Travis Boyd","C","9/14/1993 (30)","Hopkins, MN"
"Logan Cooley","C","5/4/2004 (19)","Pittsburgh, PA"
"Barrett Hayton","C","6/9/2000 (23)","Peterborough, ON"
"Clayton Keller","C","7/29/1998 (25)","Chesterfield, MO"
"Alexander Kerfoot","C","8/11/1994 (29)","Vancouver, BC"
"Jack McBain","C","1/6/2000 (23)","Toronto, CA"
"Nick Schmaltz","C","2/23/1996 (27)","Madison, WI"
"Travis Barron","LW","8/17/1998 (25)","Brampton, ON"
"Michael Carcone","LW","5/19/1996 (27)","Ajax, ON"
"Lawson Crouse","LW","6/23/1997 (26)","Mt. Brydges, ON"
"Jan Jenik","RW","9/15/2000 (23)","Nymburk, Czech Republic"
"Milos Kelemen","LW","7/6/1999 (24)","Lucenec, Slovakia"
"Matias Maccelli","LW","10/14/2000 (23)","Turku, Finland"
"Liam O'Brien","LW","7/29/1994 (29)","Halifax, NS"
"Zach Sanford","LW","11/9/1994 (29)","Salem, MA"
"Jakub Voracek","RW","8/15/1989 (34)","Kladno, Czechoslovakia"
"Jason Zucker","LW","1/16/1992 (31)","Newport Beach, CA"
"Josh Brown","D","1/21/1994 (29)","London, ON"
"Travis Dermott","D","12/22/1996 (26)","Newmarket, ON"
"Matt Dumba","D","7/25/1994 (29)","Regina, SK"
"Sean Durzi","D","10/21/1998 (25)","Mississauga, ON"
"Michael Kesselring","D","1/13/2000 (23)","Florence, SC"
"Janis Moser","D","6/6/2000 (23)","Biel, Switzerland"
"Troy Stecher","D","4/7/1994 (29)","Richmond, BC"
"Juuso Valimaki","D","10/6/1998 (25)","Tampere, Finland"
"Connor Ingram","G","3/31/1997 (26)","Saskatoon, SK"
"Karel Vejmelka","G","5/25/1996 (27)","Trebic, Czech Republic"
"Matt Villalta","G","1/3/1999 (24)","Kingston, ON"
"John Beecher","C","4/5/2001 (22)","Elmira, NY"
"Patrick Brown","C","5/29/1992 (31)","Bloomfield Hills, MI"
"Charlie Coyle","C","3/2/1992 (31)","East Weymouth, MA"
"Trent Frederic","C","2/11/1998 (25)","St. Louis, MO"
"Jakub Lauko","C","3/28/2000 (23)","Prague, Czech Republic"
"Jayson Megna","C","2/1/1990 (33)","Fort Lauderdale, FL"
"Matthew Poitras","C","3/10/2004 (19)","Ajax, CA"
"Oskar Steen","C","3/9/1998 (25)","Karlstad, Sweden"
"Pavel Zacha","C","4/6/1997 (26)","Brno, Czech Republic"
"Jake DeBrusk","LW","10/17/1996 (27)","Edmonton, AB"
"Danton Heinen","LW","7/5/1995 (28)","Langley, BC"
"Brad Marchand","LW","5/11/1988 (35)","Halifax, NS"
"David Pastrnak","RW","5/25/1996 (27)","Havirov, Czech Republic"
"Anthony Richard","LW","12/20/1996 (26)","Trois-Rivieres, PQ"
"James van Riemsdyk","LW","5/4/1989 (34)","Middletown, NJ"
"Brandon Carlo","D","11/26/1996 (26)","Colorado Springs, CO"
"Derek Forbort","D","3/4/1992 (31)","Duluth, MN"
"Hampus Lindholm","D","1/20/1994 (29)","Helsingborg, Sweden"
"Mason Lohrei","D","1/17/2001 (22)","Verona, WI"
"Charlie McAvoy","D","12/21/1997 (25)","Long Beach, NY"
"Ian Mitchell","D","1/18/1999 (24)","St. Albert, AB"
"Kevin Shattenkirk","D","1/29/1989 (34)","New Rochelle, NY"
"Anton Stralman","D","8/1/1986 (37)","Tibro, Sweden"
"Parker Wotherspoon","D","8/24/1997 (26)","Surrey, BC"
"Brandon Bussi","G","6/25/1998 (25)","Sound Beach, NY"
"Kyle Keyser","G","3/8/1999 (24)","Coral Springs, FL"
"Jeremy Swayman","G","11/24/1998 (24)","Anchorage, AK"
"Linus Ullmark","G","7/31/1993 (30)","Lugnvik, Sweden"
"Dylan Cozens","C","2/9/2001 (22)","Whitehorse, YT"
"Ryan Johnson","C","7/24/2001 (22)","Irvine, CA"
"Tyson Jost","C","3/14/1998 (25)","St. Albert, AB"
"Peyton Krebs","C","1/26/2001 (22)","Calgary, AB"
"Casey Mittelstadt","C","11/22/1998 (24)","Eden Prairie, MN"
"Matthew Savoie","C","1/1/2004 (19)","St. Albert, CA"
"Tage Thompson","C","10/30/1997 (26)","Phoenix, AZ"
"Zemgus Girgensons","LW","1/5/1994 (29)","Riga, Latvia"
"Jordan Greenway","LW","2/16/1997 (26)","Canton, NY"
"Kyle Okposo","RW","4/16/1988 (35)","St. Paul, MN"
"Victor Olofsson","LW","7/18/1995 (28)","Ornskoldsvik, Sweden"
"John-Jason Peterka","RW","1/14/2002 (21)","Munich, Germany"
"Lukas Rousek","RW","4/20/1999 (24)","Ostrov nad Ohri, Czech Republic"
"Jeff Skinner","LW","5/16/1992 (31)","Toronto, ON"
"Alex Tuch","RW","5/10/1996 (27)","Syracuse, NY"
"Jacob Bryson","D","11/18/1997 (25)","London, ON"
"Kale Clague","D","6/5/1998 (25)","Regina, SK"
"Connor Clifton","D","4/28/1995 (28)","Long Branch, NJ"
"Rasmus Dahlin","D","4/13/2000 (23)","Lidkoping, Sweden"
"Jeremy Davies","D","12/4/1996 (26)","St-Anne-de-Bellevue, PQ"
"Erik Johnson","D","3/21/1988 (35)","Bloomington, MN"
"Henri Jokiharju","D","6/17/1999 (24)","Oulu, Finland"
"Owen Power","D","11/22/2002 (20)","Mississauga, CA"
