"Name","Position","Birthdate","Birthplace","BirthMonth","BirthQuarter"
"Leo Carlsson","C","12/26/2004","Karlstad, SE","12",4
"Sam Carrick","C","2/4/1992","Markham, ON","02",1
"Benoit-Olivier Groulx","C","2/6/2000","Gatineau, PQ","02",1
"Adam Henrique","C","2/6/1990","Brantford, ON","02",1
"Mason McTavish","C","1/30/2003","Zurich, Switzerland","01",1
"Ryan Strome","C","7/11/1993","Mississauga, ON","07",3
"Trevor Zegras","C","3/20/2001","Bedford, NY","03",1
"Ross Johnston","LW","2/18/1994","Charlottetown, PE","02",1
"Max Jones","LW","2/17/1998","Rochester, MI","02",1
"Alex Killorn","LW","9/14/1989","Halifax, NS","09",3
"Brett Leason","RW","4/30/1999","Calgary, AB","04",2
"Jakob Silfverberg","LW","10/13/1990","Gavle, Sweden","10",4
"Troy Terry","RW","9/10/1997","Denver, CO","09",3
"Frank Vatrano","RW","3/14/1994","East Longmeadow, MA","03",1
"Cam Fowler","D","12/5/1991","Windsor, ON","12",4
"Radko Gudas","D","6/5/1990","Prague, Czechoslovakia","06",2
"Robert Hagg","D","2/8/1995","Uppsala, Sweden","02",1
"Jackson LaCombe","D","1/9/2001","Eden Prairie, MN","01",1
"Tristan Luneau","D","1/12/2004","Victoriaville, CA","01",1
"Ilya Lyubushkin","D","4/6/1994","Moscow, Russia","04",2
"Pavel Mintyukov","D","11/25/2003","Moscow, RU","11",4
"Urho Vaakanainen","D","1/1/1999","Joensuu, Finland","01",1
"Olen Zellweger","D","9/10/2003","Calgary, AB","09",3
"Lukas Dostal","G","6/22/2000","Brno, Czech Republic","06",2
"Olle Eriksson Ek","G","6/22/1999","Karlstad, Sweden","06",2
"John Gibson","G","7/14/1993","Pittsburgh, PA","07",3
"Nick Bjugstad","C","7/17/1992","Minneapolis, MN","07",3
"Travis Boyd","C","9/14/1993","Hopkins, MN","09",3
"Logan Cooley","C","5/4/2004","Pittsburgh, PA","05",2
"Barrett Hayton","C","6/9/2000","Peterborough, ON","06",2
"Clayton Keller","C","7/29/1998","Chesterfield, MO","07",3
"Alexander Kerfoot","C","8/11/1994","Vancouver, BC","08",3
"Jack McBain","C","1/6/2000","Toronto, CA","01",1
"Nick Schmaltz","C","2/23/1996","Madison, WI","02",1
"Travis Barron","LW","8/17/1998","Brampton, ON","08",3
"Michael Carcone","LW","5/19/1996","Ajax, ON","05",2
"Lawson Crouse","LW","6/23/1997","Mt. Brydges, ON","06",2
"Jan Jenik","RW","9/15/2000","Nymburk, Czech Republic","09",3
"Milos Kelemen","LW","7/6/1999","Lucenec, Slovakia","07",3
"Matias Maccelli","LW","10/14/2000","Turku, Finland","10",4
"Liam O'Brien","LW","7/29/1994","Halifax, NS","07",3
"Zach Sanford","LW","11/9/1994","Salem, MA","11",4
"Jakub Voracek","RW","8/15/1989","Kladno, Czechoslovakia","08",3
"Jason Zucker","LW","1/16/1992","Newport Beach, CA","01",1
"Josh Brown","D","1/21/1994","London, ON","01",1
"Travis Dermott","D","12/22/1996","Newmarket, ON","12",4
"Matt Dumba","D","7/25/1994","Regina, SK","07",3
"Sean Durzi","D","10/21/1998","Mississauga, ON","10",4
"Michael Kesselring","D","1/13/2000","Florence, SC","01",1
"Janis Moser","D","6/6/2000","Biel, Switzerland","06",2
"Troy Stecher","D","4/7/1994","Richmond, BC","04",2
"Juuso Valimaki","D","10/6/1998","Tampere, Finland","10",4
"Connor Ingram","G","3/31/1997","Saskatoon, SK","03",1
"Karel Vejmelka","G","5/25/1996","Trebic, Czech Republic","05",2
"Matt Villalta","G","1/3/1999","Kingston, ON","01",1
"John Beecher","C","4/5/2001","Elmira, NY","04",2
"Patrick Brown","C","5/29/1992","Bloomfield Hills, MI","05",2
"Charlie Coyle","C","3/2/1992","East Weymouth, MA","03",1
"Trent Frederic","C","2/11/1998","St. Louis, MO","02",1
"Jakub Lauko","C","3/28/2000","Prague, Czech Republic","03",1
"Jayson Megna","C","2/1/1990","Fort Lauderdale, FL","02",1
"Matthew Poitras","C","3/10/2004","Ajax, CA","03",1
"Oskar Steen","C","3/9/1998","Karlstad, Sweden","03",1
"Pavel Zacha","C","4/6/1997","Brno, Czech Republic","04",2
"Jake DeBrusk","LW","10/17/1996","Edmonton, AB","10",4
"Danton Heinen","LW","7/5/1995","Langley, BC","07",3
"Brad Marchand","LW","5/11/1988","Halifax, NS","05",2
"David Pastrnak","RW","5/25/1996","Havirov, Czech Republic","05",2
"Anthony Richard","LW","12/20/1996","Trois-Rivieres, PQ","12",4
"James van Riemsdyk","LW","5/4/1989","Middletown, NJ","05",2
"Brandon Carlo","D","11/26/1996","Colorado Springs, CO","11",4
"Derek Forbort","D","3/4/1992","Duluth, MN","03",1
"Hampus Lindholm","D","1/20/1994","Helsingborg, Sweden","01",1
"Mason Lohrei","D","1/17/2001","Verona, WI","01",1
"Charlie McAvoy","D","12/21/1997","Long Beach, NY","12",4
"Ian Mitchell","D","1/18/1999","St. Albert, AB","01",1
"Kevin Shattenkirk","D","1/29/1989","New Rochelle, NY","01",1
"Anton Stralman","D","8/1/1986","Tibro, Sweden","08",3
"Parker Wotherspoon","D","8/24/1997","Surrey, BC","08",3
"Brandon Bussi","G","6/25/1998","Sound Beach, NY","06",2
"Kyle Keyser","G","3/8/1999","Coral Springs, FL","03",1
"Jeremy Swayman","G","11/24/1998","Anchorage, AK","11",4
"Linus Ullmark","G","7/31/1993","Lugnvik, Sweden","07",3
"Dylan Cozens","C","2/9/2001","Whitehorse, YT","02",1
"Ryan Johnson","C","7/24/2001","Irvine, CA","07",3
"Tyson Jost","C","3/14/1998","St. Albert, AB","03",1
"Peyton Krebs","C","1/26/2001","Calgary, AB","01",1
"Casey Mittelstadt","C","11/22/1998","Eden Prairie, MN","11",4
"Matthew Savoie","C","1/1/2004","St. Albert, CA","01",1
"Tage Thompson","C","10/30/1997","Phoenix, AZ","10",4
