"Name","Position","Birthdate","Birthplace","BirthMonth","BirthQuarter"
"Sam Carrick","C","2/4/1992","Markham, ON","02",1
"Adam Henrique","C","2/6/1990","Brantford, ON","02",1
"Ryan Strome","C","7/11/1993","Mississauga, ON","07",3
"Ross Johnston","LW","2/18/1994","Charlottetown, PE","02",1
"Alex Killorn","LW","9/14/1989","Halifax, NS","09",3
"Brett Leason","RW","4/30/1999","Calgary, AB","04",2
"Frank Vatrano","RW","3/14/1994","East Longmeadow, MA","03",1
"Cam Fowler","D","12/5/1991","Windsor, ON","12",4
"Urho Vaakanainen","D","1/1/1999","Joensuu, Finland","01",1
"Olen Zellweger","D","9/10/2003","Calgary, AB","09",3
"Travis Boyd","C","9/14/1993","Hopkins, MN","09",3
"Barrett Hayton","C","6/9/2000","Peterborough, ON","06",2
"Alexander Kerfoot","C","8/11/1994","Vancouver, BC","08",3
"Jack McBain","C","1/6/2000","Toronto, CA","01",1
"Nick Schmaltz","C","2/23/1996","Madison, WI","02",1
"Travis Barron","LW","8/17/1998","Brampton, ON","08",3
"Michael Carcone","LW","5/19/1996","Ajax, ON","05",2
"Lawson Crouse","LW","6/23/1997","Mt. Brydges, ON","06",2
"Jan Jenik","RW","9/15/2000","Nymburk, Czech Republic","09",3
"Matias Maccelli","LW","10/14/2000","Turku, Finland","10",4
"Liam O'Brien","LW","7/29/1994","Halifax, NS","07",3
"Josh Brown","D","1/21/1994","London, ON","01",1
"Travis Dermott","D","12/22/1996","Newmarket, ON","12",4
"Matt Dumba","D","7/25/1994","Regina, SK","07",3
"Sean Durzi","D","10/21/1998","Mississauga, ON","10",4
"Troy Stecher","D","4/7/1994","Richmond, BC","04",2
"Juuso Valimaki","D","10/6/1998","Tampere, Finland","10",4
"Connor Ingram","G","3/31/1997","Saskatoon, SK","03",1
"Matt Villalta","G","1/3/1999","Kingston, ON","01",1
"Jake DeBrusk","LW","10/17/1996","Edmonton, AB","10",4
"Danton Heinen","LW","7/5/1995","Langley, BC","07",3
"Brad Marchand","LW","5/11/1988","Halifax, NS","05",2
"Mason Lohrei","D","1/17/2001","Verona, WI","01",1
"Charlie McAvoy","D","12/21/1997","Long Beach, NY","12",4
"Ian Mitchell","D","1/18/1999","St. Albert, AB","01",1
"Parker Wotherspoon","D","8/24/1997","Surrey, BC","08",3
"Dylan Cozens","C","2/9/2001","Whitehorse, YT","02",1
"Tyson Jost","C","3/14/1998","St. Albert, AB","03",1
"Peyton Krebs","C","1/26/2001","Calgary, AB","01",1
"Jordan Greenway","LW","2/16/1997","Canton, NY","02",1
"Victor Olofsson","LW","7/18/1995","Ornskoldsvik, Sweden","07",3
"Jeff Skinner","LW","5/16/1992","Toronto, ON","05",2
"Jacob Bryson","D","11/18/1997","London, ON","11",4
"Kale Clague","D","6/5/1998","Regina, SK","06",2
"Connor Clifton","D","4/28/1995","Long Branch, NJ","04",2
"Erik Johnson","D","3/21/1988","Bloomington, MN","03",1
"Henri Jokiharju","D","6/17/1999","Oulu, Finland","06",2
"Ukko-Pekka Luukkonen","G","3/9/1999","Espoo, Finland","03",1
"Dustin Tokarski","G","9/16/1989","Watson, SK","09",3
"Dillon Dube","C","7/20/1998","Golden, BC","07",3
"Jonathan Huberdeau","C","6/4/1993","Saint-Jerome, PQ","06",2
"Nazem Kadri","C","10/6/1990","London, ON","10",4
"Yegor Sharangovich","C","6/6/1998","Minsk, Belarus","06",2
"Connor Zary","C","9/25/2001","Saskatoon, SK","09",3
"Andrew Mangiapane","LW","4/4/1996","Toronto, ON","04",2
"Noah Hanifin","D","1/25/1997","Boston, MA","01",1
"Christopher Tanev","D","12/20/1989","Toronto, ON","12",4
"MacKenzie Weegar","D","1/7/1994","Ottawa, ON","01",1
"Seth Jarvis","C","2/1/2002","Winnipeg, MB","02",1
"Jesperi Kotkaniemi","C","7/6/2000","Pori, Finland","07",3
"Jordan Staal","C","9/10/1988","Thunder Bay, ON","09",3
"Ryan Suzuki","C","5/28/2001","London, ON","05",2
"Sebastian Aho","LW","7/26/1997","Rauma, Finland","07",3
"Michael Bunting","LW","9/17/1995","Scarborough, ON","09",3
"Jordan Martinook","LW","7/25/1992","Brandon, MB","07",3
"Teuvo Teravainen","LW","9/11/1994","Helsinki, Finland","09",3
"Brent Burns","D","3/9/1985","Barrie, ON","03",1
"Jalen Chatfield","D","5/15/1996","Ypsilanti, MI","05",2
"Dylan Coghlan","D","2/19/1998","Duncan, BC","02",1
"Dmitry Orlov","D","7/23/1991","Novokuznetsk, USSR","07",3
"Brett Pesce","D","11/15/1994","Tarrytown, NY","11",4
"Pyotr Kochetkov","G","6/25/1999","Penza, Russia","06",2
"Antti Raanta","G","5/12/1989","Rauma, Finland","05",2
"Andreas Athanasiou","C","8/6/1994","Woodbridge, ON","08",3
"Jason Dickinson","C","7/4/1995","Georgetown, ON","07",3
"Ryan Donato","C","4/9/1996","Boston, MA","04",2
"Philipp Kurashev","C","10/12/1999","Munsingen, Switzerland","10",4
"MacKenzie Entwistle","RW","7/14/1999","Georgetown, ON","07",3
"Taylor Hall","LW","11/14/1991","Calgary, AB","11",4
"Reese Johnson","RW","7/10/1998","Saskatoon, SK","07",3
"Boris Katchouk","LW","6/18/1998","Waterloo, ON","06",2
"Corey Perry","RW","5/16/1985","Peterborough, ON","05",2
"Taylor Raddysh","RW","2/18/1998","Caledon, ON","02",1
"Lukas Reichel","LW","5/17/2002","Nuremberg, Germany","05",2
"Seth Jones","D","10/3/1994","Arlington, TX","10",4
"Kevin Korchinski","D","6/21/2004","Saskatoon, CA","06",2
"Isaak Phillips","D","9/28/2001","Barrie, ON","09",3
"Andrew Cogliano","C","6/14/1987","Toronto, ON","06",2
"Ross Colton","C","9/11/1996","Robbinsville, NJ","09",3
"Ryan Johansen","C","7/31/1992","Vancouver, BC","07",3
"Nathan MacKinnon","C","9/1/1995","Halifax, NS","09",3
"Artturi Lehkonen","LW","7/4/1995","Piikkio, Finland","07",3
"Valeri Nichushkin","RW","3/4/1995","Chelyabinsk, Russia","03",1
"Sampo Ranta","LW","5/31/2000","Naantali, Finland","05",2
"Mikko Rantanen","RW","10/29/1996","Nousiainen, Finland","10",4
"Riley Tufte","LW","4/10/1998","Coon Rapids, MN","04",2
"Bowen Byram","D","6/13/2001","Cranbrook, BC","06",2
"Kurtis MacDermid","D","3/25/1994","Sauble Beach, ON","03",1
"Cale Makar","D","10/30/1998","Calgary, AB","10",4
"Josh Manson","D","10/7/1991","Hinsdale, IL","10",4
"Devon Toews","D","2/21/1994","Abbotsford, BC","02",1
"Justus Annunen","G","3/11/2000","Kempele, Finland","03",1
"Josh Dunne","C","12/8/1998","O'Fallon, MO","12",4
"Adam Fantilli","C","10/12/2004","Nobleton, CA","10",4
"Boone Jenner","C","6/15/1993","Dorchester, ON","06",2
"Jack Roslovic","C","1/29/1997","Columbus, OH","01",1
"Cole Sillinger","C","5/16/2003","Columbus, OH","05",2
"Alexandre Texier","C","9/13/1999","Saint-Martin-d'Heres, France","09",3
"Yegor Chinakhov","RW","2/1/2001","Omsk, Russia","02",1
"Justin Danforth","RW","3/15/1993","Oshawa, ON","03",1
"Trey Fix-Wolansky","RW","5/26/1999","Edmonton, AB","05",2
"Joona Luoto","LW","9/26/1997","Tampere, Finland","09",3
"Mikael Pyyhtia","LW","12/17/2001","Turku, Finland","12",4
"Jake Bean","D","6/9/1998","Calgary, AB","06",2
"Jake Christiansen","D","9/12/1999","West Vancouver, BC","09",3
"Erik Gudbranson","D","1/7/1992","Ottawa, ON","01",1
"Damon Severson","D","8/7/1994","Melville, SK","08",3
"Zach Werenski","D","7/19/1997","Grosse Pointe, MI","07",3
"Jet Greaves","G","3/30/2001","Cambridge, ON","03",1
"Michael Hutchinson","G","3/2/1990","Barrie, ON","03",1
"Spencer Martin","G","6/8/1995","Oakville, ON","06",2
"Mavrik Bourque","C","1/8/2002","Plessiville, QC, Canada","01",1
"Ty Dellandrea","C","7/21/2000","Toronto, ON","07",3
"Matt Duchene","C","1/16/1991","Haliburton, ON","01",1
"Wyatt Johnston","C","5/14/2003","Toronto, ON","05",2
"Tyler Seguin","C","1/31/1992","Brampton, ON","01",1
"Craig Smith","C","9/5/1989","Madison, WI","09",3
"Sam Steel","C","2/3/1998","Ardrossan, AB","02",1
"Jamie Benn","LW","7/18/1989","Victoria, BC","07",3
"Evgenii Dadonov","RW","3/12/1989","Chelyabinsk, USSR","03",1
"Roope Hintz","LW","11/17/1996","Tampere, Finland","11",4
"Mason Marchment","LW","6/18/1995","Uxbridge, ON","06",2
"Gavin Bayreuther","D","5/12/1994","Canaan, NH","05",2
"Jani Hakanpaa","D","3/31/1992","Kirkkonummi, Finland","03",1
"Joel Hanley","D","6/8/1991","Keswick, ON","06",2
"Miro Heiskanen","D","7/18/1999","Espoo, Finland","07",3
"Esa Lindell","D","5/23/1994","Vantaa, Finland","05",2
"Derrick Pouliot","D","1/16/1994","Estevan, SK","01",1
"Ryan Suter","D","1/21/1985","Madison, WI","01",1
